id,user_id,value,unit,device_id,original_id,captured_at,height,devicetype_id,latitude,longitude,city,p_lowinc,pct_minority,p_edu_lths,p_emp_stat_unemployed,lifeexp,per_cap_inc,raw_e_diesel,raw_e_cancer,raw_e_resp,raw_e_traffic,raw_e_npl,raw_e_rmp,raw_e_tsdf,raw_e_o3,raw_e_pm25,raw_e_rsei_air,totalpop,num_airpoll,raw_hi_asthma,raw_hi_cancer,raw_ci_fire,raw_ci_fire30
130893407,304,32,cpm,300172,130893407,2019-01-11 07:21:09+00:00,112,lnd_7318c,34.111767,-118.255486,Los Angeles,32,58,16,8,79,44261,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306740,12,8.7,4.9,20%,28%
130191882,304,2.8,celcius,300179,130191882,2019-01-02 07:08:20+00:00,113,"DeviceID:30017,Temperature:2.8,Battery Voltage:3.858297",34.111824,-118.255531,Los Angeles,32,58,16,8,79,44289,0.429,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306164,12,8.7,4.9,20%,28%
130536188,304,38,cpm,300172,130536188,2019-01-07 10:04:46+00:00,114,lnd_7318c,34.111797,-118.255486,Los Angeles,32,58,16,8,79,44289,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306914,12,8.7,4.9,20%,28%
130793391,304,37,cpm,300171,130793391,2019-01-08 14:49:46+00:00,114,lnd_7318u,34.111797,-118.255486,Los Angeles,32,58,16,8,79,44289,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306914,12,8.7,4.9,20%,28%
131001732,304,31,cpm,300172,131001732,2019-01-14 04:51:09+00:00,103,lnd_7318c,34.111805,-118.255501,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1100,0.46,0.15,10,69.8,10.4,820,307103,12,8.7,4.9,20%,28%
131003308,304,29,cpm,300172,131003308,2019-01-14 05:51:09+00:00,103,lnd_7318c,34.111805,-118.255501,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1100,0.46,0.15,10,69.8,10.4,820,307103,12,8.7,4.9,20%,28%
131689719,304,29,cpm,300172,131689719,2019-01-25 03:26:54+00:00,96,lnd_7318c,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131735117,304,34,cpm,300171,131735117,2019-01-25 15:26:54+00:00,96,lnd_7318u,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131771213,304,37,cpm,300171,131771213,2019-01-26 13:56:54+00:00,96,lnd_7318u,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131780886,304,30,cpm,300172,131780886,2019-01-26 20:41:54+00:00,96,lnd_7318c,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131853858,304,32,cpm,300171,131853858,2019-01-28 18:26:54+00:00,105,lnd_7318u,34.111813,-118.255585,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306339,12,8.7,4.9,20%,28%
130510742,304,12.2,celcius,300179,130510742,2019-01-06 18:04:46+00:00,114,"DeviceID:30017,Temperature:12.2,Battery Voltage:3.787594",34.111797,-118.255486,Los Angeles,32,58,16,8,79,44289,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306914,12,8.7,4.9,20%,28%
131778915,304,37,cpm,300171,131778915,2019-01-26 19:11:54+00:00,96,lnd_7318u,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131778921,304,31,cpm,300172,131778921,2019-01-26 19:11:54+00:00,96,lnd_7318c,34.111794,-118.255547,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306605,12,8.7,4.9,20%,28%
131803923,304,7.6,celcius,300179,131803923,2019-01-27 10:26:54+00:00,105,"DeviceID:30017,Temperature:7.6",34.111813,-118.255585,Los Angeles,32,58,16,8,79,44289,0.43,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306339,12,8.7,4.9,20%,28%
130169652,304,35,cpm,300172,130169652,2019-01-01 16:38:20+00:00,113,lnd_7318c,34.111824,-118.255531,Los Angeles,32,58,16,8,79,44289,0.429,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306164,12,8.7,4.9,20%,28%
130530330,304,11.6,celcius,300179,130530330,2019-01-07 07:05:31+00:00,114,"DeviceID:30017,Temperature:11.6,Battery Voltage:3.864000",34.111797,-118.255486,Los Angeles,32,58,16,8,79,44289,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306914,12,8.7,4.9,20%,28%
130768181,304,26.1,celcius,300179,130768181,2019-01-07 22:04:46+00:00,114,"DeviceID:30017,Temperature:26.1,Battery Voltage:3.895422",34.111797,-118.255486,Los Angeles,32,58,16,8,79,44289,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306914,12,8.7,4.9,20%,28%
131023808,304,38,cpm,300171,131023808,2019-01-14 19:36:09+00:00,94,lnd_7318u,34.111855,-118.255547,Los Angeles,32,58,16,8,79,44348,0.429,33,0.46,1000,0.46,0.15,10,69.8,10.4,820,306702,12,8.7,4.9,20%,28%
130986424,304,36,cpm,300171,130986424,2019-01-13 19:21:09+00:00,113,lnd_7318u,34.111744,-118.255516,Los Angeles,32,58,16,8,79,44261,0.43,33,0.47,1000,0.46,0.15,10,69.8,10.4,820,306782,12,8.7,4.9,20%,28%
